6434,2018-12-27 13:06:13,186,995543303675,87.190.148.217
6434,2018-12-27 13:57:38,280,27564577728,41.77.56.40
6434,2018-12-27 14:13:10,212,995947425447,218.99.136.57
6434,2018-12-27 14:35:08,33,387239397337,87.190.148.217
6434,2018-12-27 15:10:59,207,250600251456,41.77.56.40
6434,2018-12-27 16:00:59,183,374420658506,112.125.168.89
6434,2018-12-27 16:03:59,76,223575078283,20.12.165.244
6434,2018-12-27 16:16:19,174,387293522144,145.81.57.99
6434,2018-12-27 17:10:13,274,374616177754,41.77.56.40
7232,2018-12-27 17:19:47,40,995376870861,116.52.75.78
6434,2018-12-27 17:48:45,13,93275460892,116.52.75.78
7232,2018-12-27 18:12:19,186,223923555260,145.81.57.99
6434,2018-12-27 18:48:34,177,27617821263,145.81.57.99
6434,2018-12-27 20:33:20,117,43955618066,145.81.57.99
6434,2018-12-27 22:05:53,72,91667678182,145.81.57.99
6434,2018-12-27 23:07:26,16,250842302009,216.165.48.137
7232,2018-12-28 00:31:25,29,223728461785,218.99.136.57
6434,2018-12-28 00:37:16,95,39501243390,37.35.105.218
7232,2018-12-28 01:32:59,80,223370113241,87.190.148.217
6434,2018-12-28 03:26:03,208,250256792196,41.77.56.40
7232,2018-12-28 04:07:09,247,359237510504,63.81.174.152
6434,2018-12-28 05:39:06,81,995627884364,91.112.216.215
2354,2018-12-28 12:14:56,101,994926824749,91.112.216.215
2354,2018-12-28 12:50:03,288,32197207512,145.81.57.99
6834,2018-12-28 16:07:58,204,27282994591,145.81.57.99
6834,2018-12-28 17:25:00,23,93983873635,20.12.165.244
6834,2018-12-28 18:06:23,93,1432124919,20.12.165.244
6834,2018-12-28 18:56:49,130,502970762204,20.12.165.244
6834,2018-12-28 19:11:57,279,223520484112,41.77.56.40
6834,2018-12-28 20:04:05,68,223450730575,218.99.136.57
6834,2018-12-28 20:18:45,251,250449172024,112.125.168.89
6834,2018-12-28 22:14:48,10,27358165170,116.52.75.78
6834,2018-12-28 22:22:37,128,994363681845,116.52.75.78
6834,2018-12-28 22:49:55,35,250163038324,41.77.56.40
6834,2018-12-29 01:23:02,65,590144288046,145.81.57.99
2354,2018-12-29 04:36:25,94,27274148154,37.35.105.218
6834,2018-12-29 04:55:12,219,86670150810,37.35.105.218
2354,2018-12-29 05:42:42,78,994258926151,218.99.136.57
6834,2018-12-29 05:50:10,289,91366468485,116.52.75.78
6834,2018-12-29 06:00:52,221,994140739487,63.81.174.152
6834,2018-12-29 06:22:55,260,375126290546,145.81.57.99
6834,2018-12-29 07:02:56,279,91293336477,112.125.168.89
6834,2018-12-29 07:05:19,52,39919880660,91.112.216.215
6834,2018-12-29 07:09:32,259,91618353445,218.99.136.57
7345,2018-12-29 13:30:46,234,52721876962,37.35.105.218
6434,2018-12-29 14:58:19,42,91600705056,218.99.136.57
7345,2018-12-29 15:32:44,106,43107154143,216.165.48.137
8432,2018-12-29 15:42:10,108,43825428966,37.35.105.218
6434,2018-12-29 16:13:31,223,27444957300,112.125.168.89
8432,2018-12-29 16:44:10,210,27589763328,37.35.105.218
8432,2018-12-29 20:30:44,214,91856938931,63.81.174.152
8432,2018-12-29 20:36:03,8,27884024360,37.35.105.218
7345,2018-12-29 21:30:35,206,223169030792,87.190.148.217
8432,2018-12-29 23:00:43,277,52166810246,63.81.174.152
8432,2018-12-29 23:07:54,25,44256638705,145.81.57.99
6434,2018-12-29 23:47:26,188,590117156266,20.12.165.244
6434,2018-12-29 23:57:36,49,39329464974,216.165.48.137
8432,2018-12-30 00:56:19,217,223360861590,116.52.75.78
8432,2018-12-30 01:36:36,132,52429034500,216.165.48.137
7345,2018-12-30 02:36:25,18,44170322195,20.12.165.244
6434,2018-12-30 03:17:00,282,250521953795,112.125.168.89
7345,2018-12-30 03:19:31,161,590438873544,216.165.48.137
8432,2018-12-30 04:40:58,145,27769092287,37.35.105.218
8432,2018-12-30 06:05:27,95,52952534416,41.77.56.40
8432,2018-12-30 06:14:28,68,39857186086,216.165.48.137
8432,2018-12-30 06:34:12,42,590514559129,216.165.48.137
8432,2018-12-30 06:35:26,73,223627046375,37.35.105.218
1273,2018-12-30 14:24:17,187,43772765656,145.81.57.99
1273,2018-12-30 17:29:39,137,994232892663,91.112.216.215
1273,2018-12-30 17:37:03,244,86500370286,20.12.165.244
1273,2018-12-30 17:42:12,124,590997143482,63.81.174.152
1273,2018-12-30 18:25:26,262,44414307935,116.52.75.78
1273,2018-12-30 18:52:55,278,93794484793,216.165.48.137
1273,2018-12-30 19:00:08,37,27618824543,116.52.75.78
1273,2018-12-30 19:10:29,119,250714578083,41.77.56.40
7345,2018-12-30 19:13:42,255,359126239805,20.12.165.244
1273,2018-12-30 19:31:56,88,93294294130,112.125.168.89
7345,2018-12-30 21:36:17,193,27944524217,41.77.56.40
1273,2018-12-31 00:26:27,118,93441348442,218.99.136.57
7345,2018-12-31 00:39:50,33,375529264333,20.12.165.244
1273,2018-12-31 00:42:13,163,39181566966,216.165.48.137
7345,2018-12-31 01:50:27,290,52858290904,112.125.168.89
1273,2018-12-31 01:58:02,248,44766919731,20.12.165.244
